iter	Passed	Remaining
410	3806	5454
411	3815	5445
412	3823	5434
413	3830	5422
414	3839	5411
415	3846	5399
416	3854	5388
417	3861	5377
418	3869	5365
419	3876	5353
420	3884	5342
421	3891	5330
422	3898	5318
423	3906	5306
424	3915	5297
425	3926	5290
426	3934	5279
427	3941	5267
428	3950	5257
429	3958	5247
430	3967	5237
431	3975	5226
432	3982	5215
433	3989	5203
434	3997	5192
435	4006	5182
436	4013	5170
437	4021	5160
438	4029	5148
439	4036	5137
440	4044	5126
441	4051	5115
442	4059	5104
443	4067	5093
444	4077	5085
445	4087	5077
446	4096	5068
447	4106	5060
448	4115	5050
449	4123	5040
450	4132	5029
451	4139	5018
452	4146	5007
453	4153	4995
454	4161	4984
455	4168	4973
456	4176	4962
457	4183	4950
458	4190	4939
459	4199	4929
460	4206	4917
461	4213	4907
462	4223	4898
463	4235	4892
464	4242	4881
465	4250	4870
466	4257	4858
467	4265	4848
468	4272	4837
469	4279	4826
470	4287	4815
471	4295	4805
472	4302	4794
473	4310	4783
474	4317	4772
475	4324	4761
476	4332	4750
477	4340	4739
478	4348	4729
479	4356	4719
480	4363	4708
481	4371	4697
482	4381	4690
483	4391	4681
484	4400	4672
485	4408	4662
486	4417	4652
487	4424	4642
488	4432	4631
489	4441	4622
490	4451	4614
491	4460	4606
492	4470	4597
493	4479	4588
494	4487	4578
495	4495	4568
496	4503	4557
497	4510	4546
498	4520	4538
499	4530	4530
500	4545	4527
501	4554	4518
502	4563	4508
503	4571	4499
504	4581	4490
505	4591	4482
506	4599	4472
507	4608	4463
508	4617	4453
509	4627	4446
510	4636	4436
511	4645	4428
512	4655	4419
513	4663	4409
514	4672	4400
515	4680	4390
516	4690	4381
517	4700	4373
518	4708	4363
519	4715	4352
520	4722	4342
521	4731	4332
522	4739	4322
523	4746	4311
524	4754	4301
525	4762	4291
526	4772	4283
527	4780	4273
528	4790	4265
529	4799	4256
530	4808	4247
531	4817	4237
532	4826	4228
533	4835	4219
534	4845	4211
535	4857	4205
536	4864	4194
537	4872	4184
538	4879	4173
539	4887	4163
540	4894	4152
541	4902	4142
542	4909	4131
543	4916	4121
544	4924	4111
545	4931	4100
546	4939	4090
547	4946	4079
548	4954	4069
549	4961	4059
550	4968	4049
551	4976	4038
552	4985	4030
553	4994	4020
554	5004	4012
555	5014	4004
556	5022	3994
557	5030	3985
558	5039	3975
559	5047	3965
560	5056	3957
561	5066	3948
562	5076	3940
563	5084	3930
564	5092	3920
565	5100	3911
566	5109	3901
567	5117	3892
568	5125	3882
569	5134	3873
570	5141	3863
571	5149	3853
572	5158	3843
573	5171	3838
574	5181	3829
575	5189	3820
576	5197	3810
577	5205	3800
578	5212	3790
579	5221	3780
580	5230	3771
581	5238	3762
582	5247	3753
583	5255	3743
584	5263	3733
585	5271	3724
586	5281	3715
587	5290	3706
588	5299	3698
589	5308	3688
590	5317	3679
591	5325	3670
592	5335	3661
593	5343	3652
594	5353	3643
595	5366	3637
596	5375	3628
597	5384	3619
598	5392	3609
599	5401	3600
600	5408	3590
601	5418	3582
602	5427	3573
603	5435	3563
604	5443	3553
605	5451	3544
606	5458	3534
607	5465	3524
608	5473	3514
609	5482	3505
610	5489	3495
611	5497	3485
612	5505	3475
613	5520	3470
614	5530	3462
615	5539	3453
616	5548	3444
617	5558	3435
618	5568	3427
619	5577	3418
620	5586	3409
621	5595	3400
622	5604	3391
623	5612	3382
624	5619	3371
625	5627	3362
626	5634	3352
627	5642	3342
628	5650	3332
629	5658	3323
630	5665	3313
631	5673	3303
632	5683	3295
633	5693	3286
634	5700	3276
635	5708	3267
636	5716	3257
637	5724	3247
638	5731	3238
639	5739	3228
640	5746	3218
641	5754	3209
642	5762	3199
643	5769	3189
644	5778	3180
645	5785	3170
646	5794	3161
647	5801	3151
648	5809	3141
649	5817	3132
650	5825	3123
651	5835	3114
652	5846	3106
653	5855	3097
654	5863	3088
655	5872	3079
656	5880	3070
657	5889	3061
658	5897	3051
659	5905	3042
660	5913	3032
661	5921	3023
662	5928	3013
663	5935	3003
664	5943	2993
665	5950	2984
666	5958	2974
667	5966	2965
668	5974	2956
669	5981	2946
670	5992	2938
671	6005	2931
672	6015	2922
673	6024	2914
674	6033	2904
675	6040	2895
676	6048	2885
677	6055	2876
678	6063	2866
679	6070	2856
680	6078	2847
681	6087	2838
682	6094	2828
683	6103	2819
684	6111	2810
685	6118	2800
686	6126	2791
687	6133	2781
688	6143	2772
689	6154	2764
690	6162	2755
691	6170	2746
692	6178	2736
693	6187	2728
694	6194	2718
695	6203	2709
696	6210	2699
697	6218	2690
698	6225	2680
699	6233	2671
700	6240	2661
701	6247	2652
702	6254	2642
703	6262	2632
704	6271	2624
705	6277	2614
706	6285	2605
707	6292	2595
708	6303	2587
709	6314	2579
710	6321	2569
711	6330	2560
712	6337	2550
713	6345	2541
714	6352	2532
715	6360	2522
716	6367	2513
717	6376	2504
718	6384	2495
719	6393	2486
720	6402	2477
721	6410	2468
722	6419	2459
723	6427	2450
724	6434	2440
725	6441	2431
726	6450	2422
727	6461	2414
728	6468	2404
729	6475	2395
730	6483	2385
731	6490	2376
732	6500	2367
733	6510	2359
734	6519	2350
735	6529	2341
736	6537	2332
737	6546	2324
738	6555	2315
739	6564	2306
740	6571	2297
741	6579	2287
742	6587	2278
743	6595	2269
744	6604	2260
745	6615	2252
746	6622	2243
747	6631	2233
748	6638	2224
749	6646	2215
750	6653	2206
751	6661	2196
752	6668	2187
753	6676	2178
754	6683	2168
755	6691	2159
756	6699	2150
757	6707	2141
758	6715	2132
759	6722	2122
760	6729	2113
761	6737	2104
762	6745	2095
763	6752	2085
764	6761	2077
765	6773	2069
766	6781	2059
767	6788	2050
768	6796	2041
769	6803	2032
770	6811	2023
